-- Source directory: /home/scj/devel/mht
-- Build  directory: /home/scj/devel/mht/build
-- Configuring mht ...
-- Boost version: 1.58.0
-- Configuring done
-- Generating done
-- Build files have been written to: /home/scj/devel/mht/build
[ 55%] Built target mht_base
[ 65%] Built target mht
[100%] Built target unit_tests
N;x;y;z
1;-12.731;13.451;-4.34685
2;-13.131;13.051;-3.57039
3;-13.531;12.651;-2.80963
4;-13.931;12.251;-2.06457
5;-14.3658;12.0184;-1.24048
6;-14.7713;11.5893;-0.520432
7;-15.2272;11.1944;0.284364
8;-15.7681;10.8376;1.22591
9;-16.1987;10.3122;1.93254
10;-16.7782;9.81246;2.87325
11;-18.4655;8.4572;2.45618
12;-20.7436;7.48608;1.95394
13;-22.6215;7.2313;1.76937
14;-26.6433;8.31814;2.58108
15;-30.762;9.97867;3.3397
16;-32.0832;9.88881;3.75434
17;-33.2674;9.85049;4.20469
18;-34.4027;9.62378;4.68458
19;-35.6816;9.51169;5.13176
20;-36.8799;9.35463;5.60758
21;-38.0575;9.19554;6.11415
22;-39.2264;8.99086;6.61608
23;-40.4874;8.84916;7.06423
24;-41.5602;8.67481;7.56951
25;-42.6374;8.50816;8.07028
26;-43.7357;8.32209;8.53484
27;-44.8207;8.1627;9.01338
28;-45.8979;7.97702;9.48155
29;-47.0055;7.83728;9.90514
30;-48.001;7.63848;10.3871
31;-49.0445;7.50951;10.8455
32;-50.0726;7.33992;11.1398
33;-51.2534;7.18435;11.5138
34;-52.2494;6.98108;11.9623
35;-53.3013;6.7884;12.3202
36;-54.3032;6.58336;12.6801
37;-55.3866;6.4617;13.006
38;-56.3569;6.25383;13.3288
39;-57.3248;6.06909;13.6781
40;-58.2319;5.93206;13.8799
41;-59.3083;5.72048;14.1343
42;-60.2662;5.51587;14.4423
43;-61.2396;5.35462;14.7341
44;-62.2038;5.24513;15.0291
45;-63.1056;5.06494;15.3459
46;-63.9971;4.86197;15.6439
47;-64.9207;4.67453;15.9221
48;-65.8443;4.48655;16.181
49;-66.8029;4.304;16.4226
50;-67.6773;4.14044;16.6778
51;-68.5756;3.95913;16.9195
52;-69.4356;3.7889;17.1747
53;-70.3317;3.61491;17.3639
54;-71.2357;3.44965;17.5917
55;-72.09;3.30319;17.7838
56;-73.0086;3.16435;17.9243
57;-73.8623;2.97702;18.1052
58;-74.7117;2.8342;18.2624
59;-75.5898;2.66927;18.4299
60;-76.5419;2.61759;18.5054
61;-77.3529;2.45301;18.6388
62;-78.1769;2.27123;18.7274
63;-79.0188;2.1246;18.8459
64;-79.8369;1.95661;18.934
65;-80.6733;1.84975;19.0173
66;-81.5117;1.68212;19.0846
67;-82.3233;1.53826;19.1565
68;-83.0686;1.40514;19.2357
69;-83.8927;1.25635;19.2931
70;-84.7284;1.09103;19.3335
71;-85.5284;0.965328;19.29
72;-86.323;0.799706;19.3271
73;-87.0825;0.663223;19.3317
74;-87.8606;0.553693;19.3383
75;-88.6938;0.375591;19.2967
76;-89.4832;0.203163;19.2628
77;-90.2857;0.0505557;19.2137
78;-91.0359;-0.00856348;19.1068
79;-91.8142;-0.0723793;19.1454
80;-92.6251;-0.250879;19.0374
81;-93.3915;-0.411633;18.9377
82;-94.1819;-0.622133;18.8311
83;-94.9487;-0.783908;18.7569
84;-95.7176;-0.940734;18.6383
85;-96.4772;-1.06778;18.516
86;-97.2553;-1.2518;18.3611
87;-98.0247;-1.37165;18.207
88;-98.699;-1.48194;18.0839
89;-99.4614;-1.65741;17.9074
90;-100.214;-1.82339;17.7041
91;-100.992;-1.98308;17.4943
92;-101.72;-2.01397;17.3726
93;-102.497;-2.14746;17.1322
94;-103.236;-2.30282;16.8968
95;-104.018;-2.48633;16.6362
96;-104.809;-2.4863;16.2758
97;-105.429;-2.59252;15.952
98;-106.172;-2.7893;15.6911
99;-106.959;-2.97691;15.4149
100;-107.642;-3.11231;15.0602
101;-108.485;-3.34874;14.8451
102;-109.184;-3.43671;14.5143
103;-109.791;-3.59738;14.0467
104;-110.561;-3.76116;13.7193
105;-111.282;-3.8995;13.3503
106;-111.983;-4.00848;12.9848
107;-112.752;-4.12138;12.6231
108;-113.499;-4.31093;12.234
109;-114.304;-4.48096;11.9906
110;-114.959;-4.59968;11.5358
111;-115.711;-4.72252;11.1566
112;-116.416;-4.88902;10.7049
113;-117.156;-5.07578;10.2617
114;-117.862;-5.21092;9.81223
115;-118.553;-5.34877;9.32713
116;-119.18;-5.4669;8.70949
117;-119.954;-5.62518;8.28257
118;-120.595;-5.73836;7.65051
119;-121.248;-5.8554;7.32294
120;-121.983;-5.99599;6.74794
121;-122.804;-6.22078;6.25422
122;-123.571;-6.35327;5.78641
123;-124.329;-6.51326;5.2387
124;-124.959;-6.67908;4.68512
125;-125.62;-6.90746;4.19306
126;-126.374;-7.08035;3.69348
127;-127.103;-7.19455;3.13898
128;-127.981;-7.41549;2.78774
129;-128.704;-7.5389;2.3999
130;-129.396;-7.66022;1.98893
131;-130.073;-7.78863;1.54877
132;-130.875;-7.95677;1.23709
133;-131.55;-8.06389;0.822943
134;-132.229;-8.07771;0.435707
135;-132.986;-8.23613;-0.0432849
136;-133.647;-8.4682;-0.482971
137;-134.353;-8.61415;-0.862347
138;-135.067;-8.76527;-1.30845
139;-135.83;-8.91747;-1.81348
140;-136.742;-9.12249;-2.22848
141;-137.507;-9.32772;-2.62059
142;-138.092;-9.4829;-3.19055
143;-138.854;-9.58399;-3.69413
144;-139.555;-9.73035;-4.26566
145;-140.147;-9.84128;-4.70589
